,label,hoover_index
0,2000,0.2645349288149927
1,2001,0.26127926124526435
2,2002,0.26121299233056827
3,2003,0.25894336065953194
4,2004,0.25762044531732897
5,2005,0.2574500173213162
6,2006,0.2563296366872283
7,2007,0.2593450539179739
8,2008,0.26338971188366467
9,2009,0.26210575936512914
10,2010,0.2699891244887165
11,2011,0.2671004504500437
12,2012,0.2695710990872976
13,2013,0.27203830226994663
14,2014,0.27199904974138167
15,2015,0.27358184690541043
16,2016,0.2760046750578036
17,2017,0.2765423817778242
18,2018,0.27870489642546625
19,2019,0.2815699897349001
20,2020,0.27982943974959595
