,label,hoover_index
0,2000,0.08321776152768134
1,2001,0.08045698457346595
2,2002,0.07830863387774056
3,2003,0.07730245602879549
4,2004,0.07453188983128212
5,2005,0.07709958872623457
6,2006,0.07635153438334419
7,2007,0.08127948294794429
8,2008,0.08331680550046272
9,2009,0.08201406219678953
10,2010,0.08199251469528279
11,2011,0.08364674427672258
12,2012,0.08418672203752997
13,2013,0.08592687139821764
14,2014,0.08803268046432566
15,2015,0.08661412796980184
16,2016,0.08697858645872014
17,2017,0.08507443223264088
18,2018,0.08558219448373838
19,2019,0.08526473676316182
20,2020,0.08747823553946066
